time,pwm1,pwm2,pwm3,pwm4,depth,press,voltage,roll,pitch,yaw,a_x,a_y,a_z,w_row,w_pitch,w_yaw
214023,1100,1100,1100,1100,0.02,605,12.12,5.98,-1.06,-29.86,0.20,0.91,8.65,-0.4,-0.4,-0.6
214023,1100,1100,1100,1100,0.02,605,12.12,5.95,-1.06,-29.89,0.23,0.95,8.71,-0.8,0.2,-0.7
214023,1183,1183,1183,1183,0.00,603,12.09,5.92,-1.02,-29.93,-0.85,0.98,9.08,-0.8,0.3,-1.2
214023,1183,1183,1183,1183,-0.01,602,12.04,5.82,-0.96,-30.03,-4.13,0.07,11.00,-1.6,5.4,-2.9
214023,1183,1183,1183,1183,0.02,605,12.04,5.59,-0.82,-30.22,4.92,-1.23,10.42,-5.8,6.5,-5.9
214023,1183,1183,1183,1183,0.01,604,12.02,5.03,-0.18,-30.55,-15.78,-3.33,15.35,-19.3,2.7,-9.8
214023,1183,1183,1183,1183,0.02,605,12.00,4.11,0.75,-31.08,0.04,-1.52,8.28,-16.8,5.2,-13.8
214023,1183,1183,1183,1183,0.04,607,12.00,3.57,0.83,-31.72,0.36,-3.75,4.92,-7.3,5.1,-13.9
214023,1183,1183,1183,1183,0.06,609,12.00,3.25,0.52,-32.22,6.65,-0.23,5.72,-3.1,8.6,-10.7
214023,1183,1183,1183,1183,0.03,606,12.00,3.07,0.31,-32.75,8.00,3.61,-3.27,-1.8,0.7,-14.6
214023,1183,1183,1183,1183,0.10,614,11.99,2.87,0.16,-33.41,0.16,-1.37,11.60,-2.7,-3.7,-14.1
214023,1183,1183,1183,1183,0.11,615,12.01,2.87,0.26,-34.11,12.64,-0.98,-0.35,-2.8,1.7,-15.7
214023,1183,1183,1183,1183,0.08,612,12.00,2.89,0.07,-34.90,2.39,-2.12,12.55,-3.4,1.6,-16.5
214023,1183,1183,1183,1183,0.09,613,12.01,2.76,-0.38,-35.68,-12.46,-2.53,13.54,-4.1,-10.6,-16.4
214023,1183,1183,1183,1183,0.08,612,12.00,2.68,-0.36,-36.51,1.18,0.51,3.34,-3.1,4.7,-16.5
214023,1183,1183,1183,1183,0.10,614,11.98,2.84,-0.72,-37.38,-4.75,0.39,13.14,-0.9,-16.3,-18.1
214023,1183,1183,1183,1183,0.09,613,11.99,2.81,-1.18,-38.30,3.49,-4.26,16.99,-0.8,-8.5,-17.3
214023,1183,1183,1183,1183,0.16,620,11.98,2.70,-1.60,-39.21,4.13,1.43,14.67,0.2,-2.7,-19.7
214024,1183,1183,1183,1183,0.13,617,11.99,2.72,-2.10,-40.17,4.60,0.24,11.90,0.2,2.0,-19.0
214024,1183,1183,1183,1183,0.18,622,11.99,2.68,-2.27,-41.24,-18.93,4.56,19.60,0.7,-23.3,-21.7
214024,1183,1183,1183,1183,0.16,620,11.98,2.83,-2.21,-42.42,8.40,-2.46,1.38,3.7,-4.8,-24.1
214024,1183,1183,1183,1183,0.18,622,12.01,2.85,-2.50,-43.57,-0.12,0.81,7.40,3.2,3.0,-25.0
214024,1183,1183,1183,1183,0.16,620,11.99,3.14,-2.71,-44.76,-10.02,1.28,9.49,5.2,-4.2,-23.9
214024,1183,1183,1183,1183,0.18,622,12.00,3.89,-2.73,-46.03,-7.27,3.62,9.64,4.6,7.0,-26.6
214024,1183,1183,1183,1183,0.16,620,12.00,3.85,-3.05,-47.22,-18.11,1.29,16.47,4.9,-14.8,-23.1
214024,1183,1183,1183,1183,0.21,625,12.00,4.29,-2.95,-48.42,-7.03,-4.31,12.51,5.2,-6.9,-24.2
214024,1183,1183,1183,1183,0.25,629,12.00,4.74,-2.57,-49.59,-4.56,-4.61,18.12,2.7,-0.4,-23.3
214024,1183,1183,1183,1183,0.21,625,12.00,4.73,-2.29,-50.76,16.44,-1.29,2.62,5.2,8.6,-23.9
214024,1183,1183,1183,1183,0.22,626,11.99,5.06,-2.33,-52.04,-2.35,1.86,8.29,3.4,-15.6,-24.3
214024,1183,1183,1183,1183,0.22,626,12.00,5.11,-2.86,-53.36,9.99,-1.78,5.78,3.5,10.7,-25.6
214024,1183,1183,1183,1183,0.23,627,12.00,5.29,-2.56,-54.67,11.27,5.03,1.54,3.7,15.5,-26.5
214024,1183,1183,1183,1183,0.21,625,11.99,5.93,-2.75,-56.06,3.45,-2.93,5.81,4.2,8.7,-28.0
214024,1183,1183,1183,1183,0.21,625,11.99,6.22,-2.54,-57.41,-0.48,3.12,4.70,6.4,-2.6,-26.4
214024,1183,1183,1183,1183,0.28,633,12.00,6.35,-2.40,-58.84,6.37,-0.61,5.99,4.6,8.2,-30.8
214024,1183,1183,1183,1183,0.26,631,12.00,6.66,-2.47,-60.35,-15.39,1.75,14.14,7.1,-8.9,-28.7
214024,1183,1183,1183,1183,0.25,630,12.01,7.02,-2.32,-61.90,-18.68,4.79,18.74,7.2,-10.4,-32.3
214024,1183,1183,1183,1183,0.23,627,11.99,7.58,-1.62,-63.52,-1.93,0.75,0.20,9.3,8.3,-32.0
214024,1183,1183,1183,1183,0.25,629,12.01,8.11,-0.93,-65.13,12.00,2.61,-5.51,9.6,18.7,-34.2
214025,1183,1183,1183,1183,0.25,629,12.00,8.60,-0.80,-66.81,12.71,-0.56,4.99,7.9,14.6,-34.8
214025,1183,1183,1183,1183,0.28,633,12.01,9.24,-0.29,-68.51,-7.03,2.27,10.95,5.4,-5.1,-33.4
214025,1183,1183,1183,1183,0.25,629,11.99,9.93,0.61,-70.30,6.87,6.38,2.08,4.8,-2.4,-37.4
214025,1183,1183,1183,1183,0.26,631,11.99,10.28,0.82,-72.23,1.96,1.35,7.73,3.4,-3.5,-39.1
214025,1183,1183,1183,1183,0.29,634,11.99,10.13,0.92,-74.25,8.72,2.21,-7.01,3.8,-0.2,-42.1
214025,1183,1183,1183,1183,0.27,632,11.98,9.88,0.60,-76.37,2.33,2.00,6.24,3.8,-15.3,-42.2
214025,1183,1183,1183,1183,0.32,637,11.99,9.55,0.21,-78.42,-0.23,0.80,5.02,0.5,-7.8,-40.1
214025,1183,1183,1183,1183,0.27,632,11.99,9.71,0.25,-80.45,-3.12,-6.26,14.04,1.4,4.2,-41.2
214025,1183,1183,1183,1183,0.28,633,11.99,9.41,0.10,-82.48,-6.67,1.68,13.26,-0.2,-7.8,-40.8
214025,1183,1183,1183,1183,0.26,631,11.98,9.29,0.28,-84.52,-9.63,3.70,14.50,0.7,-11.1,-40.7
214025,1183,1183,1183,1183,0.26,631,11.98,8.99,0.53,-86.63,11.57,0.98,-1.94,-0.4,6.0,-44.0
214025,1183,1183,1183,1183,0.29,634,11.99,8.85,0.80,-88.69,4.47,-0.33,0.28,-1.3,12.2,-42.1
214025,1183,1183,1183,1183,0.32,637,12.00,8.53,0.71,-90.74,13.46,-0.74,1.17,-1.8,15.0,-41.3
214025,1183,1183,1183,1183,0.29,634,11.99,8.06,0.45,-92.86,-6.72,1.49,16.04,-1.8,1.6,-41.9
214025,1183,1183,1183,1183,0.28,633,12.00,7.72,1.09,-94.93,-0.59,-0.98,6.79,-3.7,-1.5,-42.0
214025,1183,1183,1183,1183,0.31,636,11.98,7.52,1.03,-97.02,-5.81,1.51,12.03,-4.0,-16.6,-41.7
214025,1183,1183,1183,1183,0.30,635,11.98,7.15,1.58,-99.11,1.36,1.76,8.94,-2.2,-7.3,-42.9
214025,1183,1183,1183,1183,0.32,637,11.99,6.99,1.61,-101.20,-2.76,-5.96,15.91,-2.9,-3.9,-41.3
214025,1183,1183,1183,1183,0.32,637,11.98,6.79,1.30,-103.26,-12.60,-5.15,19.60,-2.6,-17.8,-41.2
214025,1183,1183,1183,1183,0.31,636,12.00,6.53,1.04,-105.38,-19.55,2.00,14.80,-1.1,-13.7,-41.7
214026,1183,1183,1183,1183,0.32,637,11.99,6.56,1.00,-107.50,0.30,-3.57,2.13,-0.5,-8.7,-42.4
214026,1183,1183,1183,1183,0.31,636,11.99,6.02,0.70,-109.60,-12.38,1.30,12.79,0.7,6.0,-41.1
214026,1183,1183,1183,1183,0.33,638,11.98,5.91,0.75,-111.60,-10.64,-2.31,19.60,-0.4,-3.4,-37.9
214026,1183,1183,1183,1183,0.29,634,12.00,5.69,0.98,-113.57,7.95,2.02,6.68,-0.6,2.9,-41.1
214026,1183,1183,1183,1183,0.33,638,11.98,5.59,1.24,-115.58,4.95,2.82,8.56,-1.3,4.8,-40.1
214026,1183,1183,1183,1183,0.29,634,11.99,5.33,1.56,-117.59,-6.18,3.10,7.01,-2.7,7.9,-41.9
