time,pwm1,pwm2,pwm3,pwm4,depth,press,voltage,roll,pitch,yaw,a_x,a_y,a_z,w_row,w_pitch,w_yaw
203722,1100,1100,1100,1100,0.00,617,11.89,3.92,-0.15,6.58,-0.04,0.67,8.85,0.0,0.0,-0.1
203722,1100,1100,1100,1100,0.02,619,11.88,3.92,-0.14,6.58,-0.19,0.58,8.86,-0.1,-0.1,0.1
203722,1100,1100,1100,1100,-0.01,616,11.87,3.95,-0.21,6.58,2.14,0.28,7.16,-1.0,0.6,-0.8
203722,1100,1100,1100,1100,-0.01,616,11.86,3.66,-0.38,6.53,-6.41,1.69,12.27,-5.7,8.4,-2.7
203722,1195,1195,1195,1195,0.00,617,11.80,3.30,0.49,6.42,2.54,6.37,5.24,-10.1,5.0,-1.4
203722,1195,1195,1195,1195,0.03,620,11.78,2.82,1.06,6.26,-17.14,-3.60,19.60,-15.1,-5.5,-2.7
203722,1195,1195,1195,1195,0.03,620,11.75,2.13,1.40,6.00,-0.71,-1.89,16.00,-6.5,-10.2,-5.0
203722,1195,1195,1195,1195,0.04,621,11.77,1.73,-0.21,5.81,-0.04,1.23,5.10,1.2,-15.2,-4.9
203722,1195,1195,1195,1195,0.07,624,11.76,2.40,-0.04,5.46,5.66,1.87,0.87,2.4,-16.2,-6.9
203722,1195,1195,1195,1195,0.07,624,11.76,2.26,-2.37,5.15,1.34,1.87,9.52,2.1,-15.6,-6.1
203722,1195,1195,1195,1195,0.07,624,11.74,2.49,-3.02,4.87,-0.17,-0.79,2.06,2.2,-10.7,-6.3
203722,1195,1195,1195,1195,0.08,625,11.77,2.70,-3.77,4.50,6.46,2.40,4.54,2.4,-12.0,-6.9
203722,1195,1195,1195,1195,0.07,624,11.77,3.13,-4.61,4.04,-2.73,1.01,8.28,4.6,-10.7,-9.3
203722,1195,1195,1195,1195,0.09,627,11.77,3.34,-5.70,3.56,1.36,-3.87,11.05,3.7,-12.0,-10.2
203722,1195,1195,1195,1195,0.09,627,11.77,3.32,-6.38,3.02,14.15,-2.00,4.32,3.5,-4.8,-12.2
203722,1195,1195,1195,1195,0.10,628,11.77,3.74,-7.02,2.33,-2.20,-0.21,5.68,3.4,-12.3,-13.1
203723,1195,1195,1195,1195,0.12,630,11.75,4.12,-6.49,1.51,5.52,-1.56,5.90,1.2,-2.3,-17.9
203723,1195,1195,1195,1195,0.11,629,11.74,4.00,-6.90,0.67,-3.70,-2.34,12.30,0.1,-3.2,-16.7
203723,1195,1195,1195,1195,0.11,629,11.77,4.14,-7.43,-0.27,8.79,2.74,7.88,-0.9,-4.7,-20.8
203723,1195,1195,1195,1195,0.13,631,11.76,3.70,-7.88,-1.33,10.70,3.78,9.08,-0.4,-2.6,-24.4
203723,1195,1195,1195,1195,0.12,630,11.75,3.95,-8.17,-2.52,4.82,3.24,8.01,0.3,-0.9,-24.0
203723,1195,1195,1195,1195,0.13,631,11.75,4.07,-7.67,-3.77,3.71,1.45,9.66,2.9,-0.9,-24.4
203723,1195,1195,1195,1195,0.13,631,11.77,4.29,-8.22,-5.03,-19.60,1.95,19.60,3.1,-4.7,-26.6
203723,1195,1195,1195,1195,0.15,633,11.75,4.55,-7.63,-6.41,9.47,-8.31,6.47,1.6,-2.0,-27.6
203723,1195,1195,1195,1195,0.16,634,11.76,4.43,-7.64,-7.67,0.76,-1.54,15.99,1.5,-4.6,-25.9
203723,1195,1195,1195,1195,0.12,630,11.75,4.71,-7.85,-8.98,-5.12,1.40,13.42,3.4,-1.7,-25.0
203723,1195,1195,1195,1195,0.17,635,11.76,5.09,-8.05,-10.35,11.48,2.69,7.93,6.0,-0.8,-25.9
203723,1195,1195,1195,1195,0.14,632,11.74,5.45,-8.88,-11.66,0.59,-1.00,15.27,5.2,0.4,-24.1
203723,1195,1195,1195,1195,0.19,637,11.76,5.72,-8.72,-12.83,-1.38,2.53,7.91,4.6,0.7,-24.7
203723,1195,1195,1195,1195,0.14,632,11.74,6.32,-8.27,-14.14,-2.02,1.90,10.51,4.6,1.2,-28.0
203723,1195,1195,1195,1195,0.16,634,11.75,6.76,-8.10,-15.52,1.48,-1.96,10.23,5.6,0.4,-28.3
203723,1195,1195,1195,1195,0.18,636,11.75,7.48,-6.95,-16.95,-11.67,4.47,14.88,3.9,-0.5,-29.0
203723,1195,1195,1195,1195,0.17,635,11.75,7.54,-7.85,-18.28,4.15,-5.12,4.95,3.3,2.1,-29.4
203723,1195,1195,1195,1195,0.19,637,11.75,7.79,-7.39,-19.81,0.63,2.69,3.05,2.1,7.1,-33.8
203723,1195,1195,1195,1195,0.18,636,11.76,8.15,-6.52,-21.36,-4.53,-2.92,9.23,1.4,0.9,-31.4
203723,1195,1195,1195,1195,0.21,639,11.76,8.06,-6.18,-22.78,0.05,2.67,7.82,1.5,1.8,-30.8
203724,1195,1195,1195,1195,0.19,637,11.76,8.22,-6.10,-24.40,2.68,-5.91,8.39,3.5,-5.0,-33.8
203724,1195,1195,1195,1195,0.21,639,11.74,8.42,-6.07,-26.03,-1.44,3.54,7.04,2.7,-0.2,-32.2
203724,1195,1195,1195,1195,0.22,640,11.77,8.74,-4.98,-27.69,-4.98,-0.81,11.81,1.4,1.6,-32.7
203724,1195,1195,1195,1195,0.21,639,11.77,9.15,-4.48,-29.25,0.97,-1.02,11.63,2.6,0.6,-29.2
203724,1196,1196,1196,1196,0.22,640,11.77,9.02,-3.69,-30.77,2.23,6.77,11.43,0.5,6.4,-32.6
203724,1196,1196,1196,1196,0.23,641,11.75,9.55,-3.90,-32.39,12.46,6.95,3.25,-0.7,3.2,-30.6
203724,1196,1196,1196,1196,0.20,638,11.77,9.26,-4.03,-34.04,12.36,-2.67,-2.52,-0.4,4.5,-34.5
203724,1196,1196,1196,1196,0.20,638,11.76,9.51,-4.27,-35.81,-2.27,-0.89,13.51,-0.7,-1.0,-36.5
203724,1196,1196,1196,1196,0.22,640,11.76,9.72,-3.53,-37.72,3.16,4.65,13.24,-1.8,0.1,-39.5
203724,1196,1196,1196,1196,0.20,638,11.74,9.52,-2.23,-39.69,2.17,-1.67,12.41,-0.1,-2.6,-40.3
203724,1196,1196,1196,1196,0.25,643,11.74,9.82,-2.44,-41.73,-2.70,0.28,5.60,-0.5,-2.4,-41.6
203724,1196,1196,1196,1196,0.23,641,11.75,9.87,-2.60,-43.83,10.60,-0.08,2.24,2.3,-0.9,-42.1
203724,1196,1196,1196,1196,0.21,639,11.75,10.08,-4.42,-45.87,7.03,-5.27,6.94,2.0,-5.3,-41.7
203724,1196,1196,1196,1196,0.24,642,11.75,9.98,-5.04,-47.89,-3.16,2.45,5.47,0.5,-4.5,-40.3
203724,1196,1196,1196,1196,0.25,643,11.76,10.01,-5.14,-49.84,8.33,2.25,7.40,-0.2,1.8,-40.0
203724,1196,1196,1196,1196,0.21,639,11.76,9.82,-5.08,-51.78,-10.27,2.00,12.96,-1.2,-0.9,-39.0
203724,1196,1196,1196,1196,0.24,642,11.74,9.74,-4.61,-53.75,10.44,-6.59,1.99,-1.7,1.7,-38.3
203724,1196,1196,1196,1196,0.26,645,11.74,9.29,-4.85,-55.55,-15.37,3.17,13.62,-4.2,-3.9,-35.9
203724,1196,1196,1196,1196,0.26,645,11.75,9.03,-4.96,-57.32,-1.75,-0.11,6.75,-0.6,8.1,-37.6
203724,1196,1196,1196,1196,0.21,639,11.75,9.08,-4.47,-59.28,-5.32,-6.95,16.33,-1.2,-2.6,-39.2
203725,1196,1196,1196,1196,0.25,643,11.76,9.00,-4.52,-61.14,6.06,-3.05,7.76,-3.1,3.1,-36.8
203725,1196,1196,1196,1196,0.24,642,11.74,8.64,-4.03,-62.95,-3.51,1.81,10.25,-2.6,-0.4,-37.2
203725,1196,1196,1196,1196,0.28,647,11.75,8.51,-4.20,-64.77,-9.11,-1.59,12.12,-1.0,1.3,-37.8
203725,1196,1196,1196,1196,0.21,639,11.74,8.38,-2.64,-66.56,10.96,3.97,6.07,-2.3,3.1,-36.9
203725,1196,1196,1196,1196,0.26,645,11.75,8.19,-3.02,-68.35,-3.69,1.43,14.63,-2.6,0.4,-36.9
203725,1196,1196,1196,1196,0.28,647,11.75,8.25,-1.96,-70.08,-14.19,-1.21,15.64,-4.5,0.3,-33.7
203725,1196,1196,1196,1196,0.24,642,11.75,7.82,-0.69,-71.70,9.00,1.35,6.45,-4.2,-0.7,-32.3
203725,1196,1196,1196,1196,0.25,643,11.73,7.25,-1.49,-73.33,-3.48,1.40,13.30,-4.2,1.8,-33.8
203725,1196,1196,1196,1196,0.25,644,11.75,7.09,0.11,-74.95,-6.30,2.21,13.79,-2.6,-6.2,-31.8
203725,1196,1196,1196,1196,0.26,645,11.76,7.27,1.27,-76.62,-2.98,-3.49,14.48,-1.9,2.4,-34.2
203725,1196,1196,1196,1196,0.23,641,11.77,6.75,2.03,-78.35,5.68,0.33,2.80,-1.0,6.0,-35.3
203725,1196,1196,1196,1196,0.24,642,11.76,6.80,1.88,-80.09,0.34,6.07,6.61,-1.2,2.5,-35.4
203725,1196,1196,1196,1196,0.28,647,11.74,6.89,2.93,-81.93,0.87,0.76,6.79,1.6,2.9,-38.4
203725,1196,1196,1196,1196,0.29,648,11.73,6.60,3.09,-83.79,9.58,3.01,3.15,0.2,5.5,-38.6
203725,1196,1196,1196,1196,0.28,647,11.74,6.77,3.62,-85.57,-12.40,-2.70,12.93,2.1,-0.3,-37.6
203725,1196,1196,1196,1196,0.25,644,11.74,6.52,3.23,-87.38,6.71,-2.66,7.45,0.5,1.1,-36.9
203725,1196,1196,1196,1196,0.26,645,11.74,6.44,4.32,-89.28,-5.72,1.62,11.43,0.1,-6.5,-38.9
203725,1196,1196,1196,1196,0.28,647,11.73,6.20,4.08,-91.16,-5.78,1.51,7.82,0.7,1.9,-37.6
203725,1196,1196,1196,1196,0.30,649,11.75,6.12,4.00,-93.06,-6.60,-2.21,8.85,-0.9,-2.3,-38.0
203725,1196,1196,1196,1196,0.30,649,11.75,5.67,3.48,-95.03,2.77,0.38,4.61,0.3,-2.1,-39.3
