time,pwm1,pwm2,pwm3,pwm4,depth,press,voltage,roll,pitch,yaw,a_x,a_y,a_z,w_row,w_pitch,w_yaw
211917,1100,1100,1100,1100,0.06,602,12.02,6.46,1.67,-134.13,-0.27,0.89,8.64,-0.6,0.5,-0.4
211917,1100,1100,1100,1100,0.09,605,12.00,6.42,1.71,-134.14,-0.27,0.95,8.73,-0.5,0.7,-0.3
211917,1100,1100,1100,1100,0.07,603,12.00,6.39,1.76,-134.16,-0.53,0.67,8.76,-0.4,0.9,-0.4
211917,1100,1100,1100,1100,0.08,604,11.99,6.49,1.90,-134.18,2.57,-1.44,6.03,5.5,4.6,-1.0
211917,1198,1198,1198,1198,0.05,601,11.92,6.65,2.17,-134.23,4.31,-0.48,6.58,11.5,7.3,-1.5
211917,1198,1198,1198,1198,0.06,602,11.89,7.33,2.39,-134.29,3.91,4.79,3.80,11.3,0.1,-1.6
211917,1198,1198,1198,1198,0.11,607,11.89,8.09,2.27,-134.49,0.98,-6.18,7.82,5.5,0.6,-4.2
211917,1198,1198,1198,1198,0.13,609,11.89,7.86,1.53,-134.86,1.42,-4.57,9.80,-4.2,-4.9,-7.0
211917,1198,1198,1198,1198,0.14,610,11.88,7.27,1.40,-135.32,3.54,5.65,10.63,-9.3,-4.6,-10.5
211917,1198,1198,1198,1198,0.16,612,11.89,6.95,1.56,-135.82,3.51,6.46,4.91,-11.4,1.9,-10.1
211917,1198,1198,1198,1198,0.16,612,11.89,6.49,1.30,-136.22,-3.12,-6.15,9.12,-12.3,-3.2,-10.2
211917,1198,1198,1198,1198,0.16,612,11.89,5.69,0.78,-136.69,-6.84,4.55,10.64,-12.7,2.0,-10.9
211918,1198,1198,1198,1198,0.17,613,11.87,5.54,1.50,-137.29,9.37,-3.21,8.45,-12.3,2.7,-15.0
211918,1198,1198,1198,1198,0.19,616,11.88,4.51,1.22,-138.07,4.02,-0.83,6.04,-13.4,-0.2,-17.1
211918,1198,1198,1198,1198,0.20,617,11.88,4.06,1.17,-138.95,-3.41,2.74,10.15,-13.2,2.3,-18.1
211918,1198,1198,1198,1198,0.22,619,11.88,3.88,1.68,-139.89,-1.57,2.72,9.91,-7.6,-1.1,-19.0
211918,1198,1198,1198,1198,0.17,613,11.89,3.58,2.13,-140.91,-17.74,-2.00,19.60,-6.7,-6.2,-21.1
211918,1198,1198,1198,1198,0.19,616,11.87,2.81,2.39,-142.11,9.08,-1.23,1.82,-6.1,4.9,-25.0
211918,1198,1198,1198,1198,0.26,623,11.88,2.25,2.13,-143.28,7.64,1.68,8.76,-3.7,-1.4,-24.4
211918,1198,1198,1198,1198,0.21,618,11.87,2.16,1.93,-144.49,5.09,3.09,7.96,-1.2,-0.1,-25.3
211918,1198,1198,1198,1198,0.24,621,11.88,1.91,2.18,-145.77,-5.35,5.37,10.97,-2.7,3.7,-26.3
211918,1198,1198,1198,1198,0.23,620,11.88,1.94,2.12,-147.16,1.11,-1.85,7.39,-2.2,4.8,-28.9
211918,1198,1198,1198,1198,0.22,619,11.88,1.91,1.44,-148.54,-4.73,-1.30,9.64,3.8,-3.6,-29.8
211918,1198,1198,1198,1198,0.22,619,11.86,1.88,1.93,-149.98,10.49,1.92,2.10,5.1,4.6,-28.7
211918,1198,1198,1198,1198,0.24,621,11.87,2.09,1.61,-151.49,2.75,0.47,8.26,5.4,6.7,-32.1
211918,1198,1198,1198,1198,0.27,624,11.88,2.18,1.73,-152.98,-0.70,4.15,6.45,8.4,-2.4,-29.7
211918,1198,1198,1198,1198,0.28,625,11.87,2.43,1.63,-154.48,1.40,-0.25,5.07,6.9,-5.3,-28.0
211918,1198,1198,1198,1198,0.31,628,11.88,2.87,1.68,-155.89,6.85,0.23,7.87,6.5,-1.6,-27.5
211918,1198,1198,1198,1198,0.29,626,11.87,3.13,1.23,-157.32,-4.82,2.44,11.95,4.5,-5.5,-28.0
211918,1198,1198,1198,1198,0.29,626,11.87,3.20,1.63,-158.82,-2.61,-1.56,14.37,5.2,-3.1,-29.2
211918,1198,1198,1198,1198,0.31,628,11.87,3.56,1.70,-160.28,6.41,-1.95,2.64,5.7,-1.3,-29.3
211918,1198,1198,1198,1198,0.33,630,11.87,3.49,1.88,-161.83,-4.70,4.17,8.03,5.1,-2.7,-28.4
211919,1198,1198,1198,1198,0.33,630,11.88,3.75,1.96,-163.31,5.09,-0.21,9.11,3.5,-0.2,-30.2
211919,1198,1198,1198,1198,0.31,628,11.90,4.01,2.07,-164.84,5.90,-4.12,0.56,2.9,3.1,-32.3
211919,1198,1198,1198,1198,0.33,630,11.88,3.63,2.16,-166.43,-13.08,3.28,15.14,0.2,-7.0,-31.7
211919,1198,1198,1198,1198,0.29,626,11.87,3.68,2.56,-167.97,13.49,1.35,1.35,2.3,5.9,-31.7
211919,1198,1198,1198,1198,0.36,634,11.88,3.96,2.87,-169.62,-11.43,2.48,11.36,3.1,-3.4,-33.9
211919,1198,1198,1198,1198,0.34,631,11.87,4.23,3.18,-171.25,7.39,-0.23,-0.68,3.8,10.6,-32.3
211919,1198,1198,1198,1198,0.32,629,11.86,4.61,3.54,-172.80,-7.87,0.80,11.24,5.7,7.4,-30.2
211919,1198,1198,1198,1198,0.35,632,11.87,5.10,5.02,-174.33,3.58,7.48,5.24,9.5,16.0,-30.3
211919,1198,1198,1198,1198,0.31,628,11.90,5.64,4.82,-175.90,4.58,0.65,4.20,8.4,6.8,-31.4
211919,1198,1198,1198,1198,0.37,635,11.88,5.87,5.48,-177.56,-2.29,2.28,10.89,8.5,11.3,-33.5
211919,1198,1198,1198,1198,0.35,632,11.88,6.15,5.49,-179.25,6.18,2.40,5.81,8.9,0.5,-34.2
