time,pwm1,pwm2,pwm3,pwm4,depth,press,voltage,roll,pitch,yaw,a_x,a_y,a_z,w_row,w_pitch,w_yaw
130649,1100,1100,1100,1100,-0.04,608,12.14,6.57,1.02,88.59,-0.18,1.07,8.58,0.4,0.1,-0.1
130649,1100,1100,1100,1100,-0.01,611,12.15,6.59,1.04,88.59,-0.07,1.09,8.70,0.1,0.5,0.0
130649,1200,1200,1200,1200,-0.01,611,12.12,6.59,1.06,88.60,0.41,1.08,8.42,-0.5,1.0,-0.1
130649,1200,1200,1200,1200,-0.02,610,12.06,6.39,1.64,88.56,-2.79,-1.59,9.33,-4.7,5.9,-2.1
130649,1200,1200,1200,1200,-0.02,610,12.01,6.28,2.31,88.49,-4.81,2.36,14.65,-11.9,10.9,-4.3
130649,1200,1200,1200,1200,0.02,614,12.00,5.33,4.19,88.29,3.06,10.29,5.81,-27.3,27.6,-8.5
130649,1200,1200,1200,1200,0.03,615,11.99,4.05,5.19,87.89,-1.15,2.31,10.67,-23.9,4.5,-10.4
130649,1200,1200,1200,1200,0.05,617,12.00,3.20,4.72,87.26,1.08,-1.26,4.34,-12.5,-10.4,-12.9
130649,1200,1200,1200,1200,0.01,613,11.98,2.57,4.47,86.71,12.58,7.15,5.97,-8.7,-1.5,-10.0
130649,1200,1200,1200,1200,0.08,620,11.98,1.82,2.86,86.16,2.29,2.78,8.66,-6.6,-11.7,-11.5
130649,1200,1200,1200,1200,0.10,623,11.98,1.63,2.81,85.54,-15.50,1.27,13.37,-3.8,-18.0,-13.2
130649,1200,1200,1200,1200,0.08,621,11.99,1.69,2.73,84.85,-7.32,2.91,9.59,-3.4,-16.2,-15.2
130649,1200,1200,1200,1200,0.14,627,11.98,1.39,2.12,84.07,14.22,0.42,-4.12,-5.4,-3.2,-15.6
130649,1200,1200,1200,1200,0.10,623,11.99,1.20,0.78,83.27,2.83,-6.29,3.25,-1.5,-11.5,-15.7
130650,1200,1200,1200,1200,0.09,622,11.99,0.84,0.64,82.39,-0.76,2.48,5.96,-0.4,-10.3,-17.0
130650,1200,1200,1200,1200,0.12,625,11.98,0.96,0.50,81.48,1.64,3.17,5.60,-0.9,-9.2,-18.8
130650,1200,1200,1200,1200,0.12,625,11.98,0.90,-0.43,80.47,-4.04,3.94,6.52,-2.1,-10.4,-21.2
130650,1200,1200,1200,1200,0.14,627,11.98,0.87,-0.70,79.36,11.74,-2.29,5.40,-2.3,-8.1,-24.2
130650,1200,1200,1200,1200,0.13,626,11.98,0.39,-1.52,78.05,5.57,-1.41,6.46,-3.8,-5.8,-29.4
130650,1200,1200,1200,1200,0.15,628,11.98,0.22,-1.98,76.69,1.93,-5.65,6.29,-2.7,-9.1,-27.3
130650,1200,1200,1200,1200,0.18,631,11.96,-0.13,-1.86,75.25,0.28,-3.94,8.55,-2.4,-8.5,-28.3
130650,1200,1200,1200,1200,0.15,628,11.97,-0.77,-3.10,73.73,-9.63,2.14,14.14,-2.0,-6.4,-28.8
130650,1200,1200,1200,1200,0.18,631,11.97,-0.70,-2.73,72.18,-3.45,-5.50,6.19,0.2,5.6,-31.6
130650,1200,1200,1200,1200,0.21,634,11.98,-0.81,-3.46,70.69,9.67,-4.89,5.49,3.5,8.2,-31.6
130650,1200,1200,1200,1200,0.14,627,11.98,-0.79,-3.27,69.23,8.27,-4.58,6.34,2.0,5.6,-30.9
130650,1200,1200,1200,1200,0.22,635,11.97,-0.57,-3.12,67.81,-7.48,-1.11,5.76,5.1,1.5,-28.0
130650,1200,1200,1200,1200,0.21,634,11.97,-0.34,-2.36,66.38,-11.29,-0.96,18.03,4.0,-6.0,-25.9
130650,1200,1200,1200,1200,0.21,634,11.98,-0.04,-2.00,65.04,7.61,-4.90,1.57,3.4,6.5,-26.2
130650,1200,1200,1200,1200,0.17,630,11.99,0.02,-2.17,63.72,9.60,-4.23,2.28,3.2,13.7,-25.8
130650,1200,1200,1200,1200,0.18,631,11.99,-0.14,-2.22,62.49,-5.96,4.12,11.80,4.7,5.2,-23.2
130650,1200,1200,1200,1200,0.23,636,11.98,0.41,-2.14,61.37,12.87,0.73,-0.04,6.0,12.9,-20.5
130650,1200,1200,1200,1200,0.23,636,11.98,0.68,-2.18,60.37,1.01,-3.20,7.60,5.4,-1.2,-19.4
