time,pwm1,pwm2,pwm3,pwm4,depth,press,voltage,roll,pitch,yaw,a_x,a_y,a_z,w_row,w_pitch,w_yaw
211031,1100,1100,1100,1100,0.03,614,12.07,6.79,1.31,94.20,-0.22,1.05,8.72,0.4,-1.6,-0.1
211031,1100,1100,1100,1100,0.03,614,12.08,6.81,1.22,94.19,-0.22,1.04,8.65,0.2,-2.0,0.0
211031,1201,1201,1201,1201,0.02,613,12.06,6.81,1.12,94.18,-0.10,0.94,8.63,-0.1,-2.1,-0.1
211031,1201,1201,1201,1201,0.06,617,12.03,6.79,1.02,94.16,-0.12,1.09,8.63,-0.5,-2.1,-0.1
211031,1201,1201,1201,1201,0.00,611,11.95,6.75,0.93,94.14,-0.19,1.06,8.83,-1.1,-1.8,-0.2
211031,1201,1201,1201,1201,0.01,612,11.91,6.69,0.84,94.12,-0.15,1.05,8.61,-1.5,-1.7,-0.2
211031,1201,1201,1201,1201,0.06,617,11.93,6.60,0.78,94.10,0.02,0.89,8.81,-1.6,-1.1,-0.3
211031,1201,1201,1201,1201,0.09,621,11.92,6.49,0.75,94.10,0.73,-1.73,9.10,-3.2,8.7,-0.9
211031,1201,1201,1201,1201,0.08,619,11.93,6.12,1.34,94.17,-1.31,3.32,9.78,-8.2,27.1,-0.6
211031,1201,1201,1201,1201,0.02,613,11.93,5.42,3.59,94.31,-1.19,-2.83,9.12,-23.6,61.3,-3.1
211031,1201,1201,1201,1201,0.10,622,11.91,3.89,6.51,94.20,-2.00,0.97,7.79,-25.0,41.2,-6.7
211031,1201,1201,1201,1201,0.08,620,11.91,2.62,7.59,93.78,2.75,-0.34,2.29,-15.4,-6.8,-11.7
211031,1201,1201,1201,1201,0.09,621,11.92,2.08,6.99,93.28,3.70,-1.22,5.86,-6.5,-8.0,-8.9
211031,1201,1201,1201,1201,0.08,620,11.90,1.85,6.48,92.88,-1.62,4.46,11.87,-3.5,-19.6,-7.5
211031,1201,1201,1201,1201,0.16,628,11.92,1.49,5.79,92.40,-10.11,-0.62,9.34,-2.9,-26.6,-7.9
211031,1201,1201,1201,1201,0.11,623,11.93,1.50,5.22,91.89,-0.46,-0.19,10.26,-1.8,-23.7,-10.0
211031,1201,1201,1201,1201,0.10,622,11.90,1.19,3.77,91.39,-0.37,3.67,4.41,0.0,-26.3,-7.4
211031,1201,1201,1201,1201,0.13,625,11.90,1.15,3.44,90.92,-5.52,4.61,11.94,1.0,-21.2,-9.7
211032,1201,1201,1201,1201,0.17,629,11.91,1.26,2.24,90.40,-9.10,1.34,9.85,1.0,-22.9,-10.1
211032,1201,1201,1201,1201,0.20,632,11.92,1.14,1.61,89.84,-4.83,2.61,9.15,1.8,-20.1,-13.0
211032,1201,1201,1201,1201,0.17,629,11.91,1.22,1.40,89.24,-9.69,1.88,17.69,-1.3,-7.7,-12.0
211032,1201,1201,1201,1201,0.16,628,11.93,1.33,1.29,88.62,5.15,-0.46,7.56,-3.0,-9.3,-13.2
211032,1201,1201,1201,1201,0.22,634,11.91,0.86,0.32,87.94,2.63,-2.34,4.25,-1.2,-5.0,-13.0
211032,1201,1201,1201,1201,0.18,630,11.92,0.74,-0.28,87.21,0.01,-0.67,5.33,-0.4,-15.3,-12.9
211032,1201,1201,1201,1201,0.22,634,11.92,0.79,-0.83,86.45,1.80,-4.58,9.43,-1.5,-5.1,-15.4
211032,1201,1201,1201,1201,0.23,635,11.92,0.72,-1.08,85.62,3.62,-4.21,6.65,0.0,1.6,-17.6
211032,1201,1201,1201,1201,0.20,632,11.92,0.26,-1.02,84.76,4.16,0.42,9.14,2.0,-5.5,-17.5
211032,1201,1201,1201,1201,0.21,633,11.91,0.02,-1.98,83.92,-2.21,0.40,11.23,2.2,-4.5,-18.2
211032,1201,1201,1201,1201,0.19,631,11.93,0.15,-2.87,83.06,-2.76,0.80,17.78,1.7,-16.1,-17.2
211032,1201,1201,1201,1201,0.25,638,11.90,0.47,-2.69,82.15,-0.51,0.41,7.88,2.7,-1.5,-17.5
211032,1201,1201,1201,1201,0.24,636,11.92,0.56,-2.95,81.23,11.45,0.27,-1.31,2.8,4.8,-18.2
211032,1201,1201,1201,1201,0.23,635,11.92,0.77,-3.32,80.35,4.58,-2.06,6.82,2.0,5.0,-17.4
211032,1201,1201,1201,1201,0.27,640,11.93,0.82,-3.55,79.49,4.12,3.15,2.21,2.9,4.5,-17.0
211032,1201,1201,1201,1201,0.28,641,11.93,0.86,-4.00,78.64,4.73,1.73,7.90,2.3,3.5,-18.8
211032,1201,1201,1201,1201,0.28,641,11.93,1.06,-4.03,77.76,-7.29,0.31,11.06,2.4,2.6,-18.9
211032,1201,1201,1201,1201,0.21,633,11.90,1.26,-3.73,76.78,-19.60,0.81,19.02,3.5,-8.2,-20.4
211032,1201,1201,1201,1201,0.25,638,11.91,1.09,-4.07,75.80,-5.30,-2.00,9.31,1.3,0.2,-21.1
211032,1201,1201,1201,1201,0.25,637,11.92,0.99,-4.00,74.71,1.92,-1.67,4.47,2.4,0.2,-21.9
211033,1201,1201,1201,1201,0.26,639,11.91,0.92,-3.48,73.61,4.53,-0.45,9.10,2.5,-0.9,-20.6
211033,1201,1201,1201,1201,0.29,642,11.92,1.30,-3.26,72.51,-6.81,3.92,11.04,2.9,1.3,-19.1
211033,1201,1201,1201,1201,0.31,644,11.92,1.60,-2.46,71.50,-10.63,-5.82,13.91,2.6,1.5,-20.7
211033,1201,1201,1201,1201,0.27,640,11.92,1.41,-1.81,70.54,7.48,4.55,3.34,1.8,7.3,-19.0
211033,1201,1201,1201,1201,0.33,646,11.92,1.62,-2.21,69.61,-7.40,-4.27,19.60,3.1,-8.1,-21.1
211033,1201,1201,1201,1201,0.33,646,11.92,1.77,-1.82,68.66,5.12,-1.59,11.23,2.7,8.3,-18.5
211033,1201,1201,1201,1201,0.32,645,11.90,1.69,-1.44,67.76,-2.32,-0.39,8.22,2.0,-1.8,-16.8
211033,1201,1201,1201,1201,0.31,644,11.92,2.13,-0.98,66.82,-6.23,2.62,13.61,4.0,-1.6,-18.5
211033,1201,1201,1201,1201,0.29,642,11.90,2.56,-0.85,65.84,3.67,-0.90,5.52,4.2,3.1,-16.5
211033,1201,1201,1201,1201,0.30,643,11.92,2.65,-1.24,64.88,-0.14,-3.25,12.47,3.7,5.4,-19.2
211033,1201,1201,1201,1201,0.29,642,11.91,2.76,-0.04,63.94,-13.45,1.03,18.86,3.4,2.0,-19.1
211033,1201,1201,1201,1201,0.31,644,11.92,2.91,0.62,63.05,13.82,0.12,-5.72,3.1,9.8,-18.8
211033,1201,1201,1201,1201,0.31,644,11.92,3.08,0.30,62.09,-7.03,-0.83,14.12,2.6,4.2,-20.4
211033,1201,1201,1201,1201,0.33,646,11.91,2.78,-0.00,61.23,5.01,0.97,2.77,1.5,3.3,-17.9
211033,1201,1201,1201,1201,0.32,645,11.92,2.78,-0.46,60.40,0.84,0.70,11.01,1.6,-1.1,-17.7
211033,1201,1201,1201,1201,0.34,647,11.92,2.96,-0.25,59.58,1.67,-0.63,13.23,1.1,-10.0,-15.9
211033,1201,1201,1201,1201,0.35,648,11.92,2.80,-0.32,58.70,-1.46,-0.41,8.80,2.6,5.9,-17.2
211033,1201,1201,1201,1201,0.34,647,11.91,2.58,-0.39,57.75,2.67,-4.25,10.01,2.3,0.5,-19.4
211033,1201,1201,1201,1201,0.31,644,11.91,2.63,-0.54,56.76,5.86,1.95,7.67,2.0,-0.8,-20.9
211033,1201,1201,1201,1201,0.37,650,11.91,2.65,-0.90,55.73,-4.09,0.91,13.41,3.0,2.7,-22.9
211034,1201,1201,1201,1201,0.37,650,11.91,2.68,-1.16,54.68,4.32,-3.93,11.79,3.4,5.7,-21.5
211034,1201,1201,1201,1201,0.33,646,11.92,2.76,-0.95,53.66,-0.28,-0.14,10.61,1.9,0.7,-21.6
211034,1201,1201,1201,1201,0.39,652,11.91,2.99,-0.04,52.58,2.98,1.44,8.63,0.0,-0.4,-22.5
211034,1201,1201,1201,1201,0.34,647,11.92,2.87,-0.51,51.43,7.65,-5.13,12.40,-2.5,-8.1,-22.3
211034,1201,1201,1201,1201,0.33,646,11.89,2.77,-1.03,50.29,-6.13,6.46,16.92,-2.0,-0.5,-20.9
211034,1201,1201,1201,1201,0.37,650,11.90,2.84,-1.06,49.13,-3.87,-2.29,14.36,-3.1,-2.6,-24.5
211034,1201,1201,1201,1201,0.39,652,11.91,2.49,-1.36,47.90,3.35,7.00,6.78,-2.6,-6.7,-23.1
211034,1201,1201,1201,1201,0.36,649,11.92,2.43,-1.33,46.65,-5.58,1.39,7.88,-3.4,-6.2,-25.7
211034,1201,1201,1201,1201,0.36,649,11.91,2.09,-2.07,45.35,-1.00,-1.22,8.61,-5.0,-0.4,-27.2
211034,1201,1201,1201,1201,0.42,655,11.91,1.79,-2.05,44.02,-5.95,-1.98,8.93,-3.4,-0.2,-27.1
211034,1201,1201,1201,1201,0.39,652,11.91,1.93,-2.28,42.67,2.05,4.50,7.66,-2.1,-2.4,-26.8
211034,1201,1201,1201,1201,0.38,651,11.90,1.64,-2.70,41.32,-8.04,-0.57,11.55,-1.3,-4.8,-27.5
211034,1201,1201,1201,1201,0.37,650,11.91,1.81,-1.97,39.99,-6.28,0.27,8.01,1.1,3.8,-26.5
211034,1201,1201,1201,1201,0.40,653,11.90,1.74,-1.85,38.66,-1.84,-6.77,6.56,1.3,7.0,-27.2
211034,1201,1201,1201,1201,0.37,650,11.92,1.71,-1.60,37.31,-8.68,1.23,15.14,0.9,10.2,-26.3
211034,1201,1201,1201,1201,0.38,651,11.90,1.93,-0.53,36.03,7.46,-1.67,1.63,3.8,7.6,-25.9
211034,1201,1201,1201,1201,0.42,656,11.90,1.97,-0.66,34.77,-3.78,-1.21,9.93,2.6,11.7,-25.8
211034,1201,1201,1201,1201,0.44,658,11.91,2.24,0.20,33.52,-11.97,0.73,12.82,3.7,-1.9,-26.6
211034,1201,1201,1201,1201,0.43,657,11.92,2.57,0.74,32.28,11.45,-1.84,5.79,4.2,11.0,-25.5
211034,1201,1201,1201,1201,0.43,657,11.90,2.62,0.59,31.10,-3.32,0.35,10.60,7.0,1.6,-24.5
211035,1201,1201,1201,1201,0.46,660,11.91,2.75,1.28,29.93,-9.24,0.16,14.62,5.3,-1.1,-23.3
211035,1201,1201,1201,1201,0.43,657,11.91,2.65,1.16,28.81,1.05,0.38,11.95,4.6,-0.1,-21.7
211035,1201,1201,1201,1201,0.42,656,11.90,3.06,1.38,27.73,-2.48,-1.70,10.30,2.4,4.1,-20.6
211035,1201,1201,1201,1201,0.41,654,11.91,3.09,2.05,26.64,14.71,3.37,1.58,6.2,11.2,-21.6
211035,1201,1201,1201,1201,0.42,655,11.91,3.20,2.25,25.50,-11.89,1.85,18.76,3.1,-1.1,-22.8
211035,1201,1201,1201,1201,0.44,658,11.91,3.59,2.03,24.31,2.23,-2.59,7.79,1.4,6.6,-24.6
211035,1201,1201,1201,1201,0.42,655,11.90,3.39,1.89,23.09,1.86,-4.39,4.96,2.2,-3.5,-25.8
211035,1201,1201,1201,1201,0.42,656,11.89,3.23,1.62,21.79,18.83,-0.57,2.42,-1.4,13.7,-26.6
211035,1201,1201,1201,1201,0.43,657,11.90,3.05,1.40,20.55,-4.19,1.83,6.96,0.9,-1.3,-23.9
211035,1201,1201,1201,1201,0.45,659,11.91,2.78,1.22,19.34,3.56,-3.03,11.17,0.1,1.6,-23.9
211035,1201,1201,1201,1201,0.49,663,11.91,2.52,1.40,18.15,2.37,4.99,12.35,-1.0,6.8,-23.9
211035,1201,1201,1201,1201,0.45,659,11.90,2.66,1.63,16.95,4.07,5.48,-4.86,-0.2,7.4,-23.3
211035,1201,1201,1201,1201,0.45,659,11.90,2.51,0.89,15.70,-19.60,-5.06,19.60,0.2,-12.6,-24.6
211035,1201,1201,1201,1201,0.47,661,11.91,2.23,0.75,14.47,-13.83,3.09,15.63,-1.8,-6.6,-23.6
211035,1201,1201,1201,1201,0.46,660,11.91,2.25,1.17,13.34,-2.90,-0.75,10.28,0.1,-5.6,-21.9
211035,1201,1201,1201,1201,0.45,659,11.92,1.86,1.16,12.28,0.60,0.82,6.28,-0.1,-0.4,-21.9
211035,1201,1201,1201,1201,0.51,665,11.92,1.89,1.13,11.31,-4.45,4.66,9.87,-0.9,0.2,-17.7
211035,1201,1201,1201,1201,0.46,660,11.90,1.90,1.32,10.51,-1.79,3.79,8.66,3.3,-1.6,-15.6
211035,1201,1201,1201,1201,0.49,663,11.90,2.15,1.03,9.75,19.60,-3.61,0.34,1.5,10.9,-16.7
211035,1201,1201,1201,1201,0.48,662,11.91,2.25,0.76,9.00,-16.65,-2.09,19.03,-0.1,1.9,-14.8
211036,1201,1201,1201,1201,0.48,662,11.91,2.12,1.44,8.38,-2.27,0.09,11.09,2.0,-4.6,-10.4
211036,1201,1201,1201,1201,0.48,662,11.90,1.92,1.34,7.79,5.51,0.80,7.13,4.3,-3.8,-13.2
211036,1201,1201,1201,1201,0.49,663,11.89,1.97,0.91,7.33,0.83,2.86,7.21,4.3,1.4,-6.5
211036,1201,1201,1201,1201,0.47,661,11.89,2.49,1.25,6.94,12.00,3.35,2.55,6.6,4.8,-7.6
211036,1201,1201,1201,1201,0.51,665,11.91,2.60,0.93,6.65,-5.81,2.55,12.10,7.2,-0.1,-2.8
211036,1201,1201,1201,1201,0.47,661,11.90,3.26,1.22,6.56,-3.36,2.07,10.14,8.4,3.5,-1.8
211036,1201,1201,1201,1201,0.51,665,11.91,3.26,0.69,6.42,-1.04,-5.21,15.23,9.0,1.5,-4.6
211036,1201,1201,1201,1201,0.52,666,11.90,3.64,1.18,6.29,-0.65,1.63,7.20,6.2,-4.0,-2.8
211036,1201,1201,1201,1201,0.49,663,11.92,3.99,0.67,6.13,5.07,-2.70,-5.83,6.1,-4.3,-4.8
211036,1201,1201,1201,1201,0.46,660,11.90,4.05,0.86,5.93,-6.86,6.97,14.17,3.7,-2.4,-3.2
211036,1201,1201,1201,1201,0.48,662,11.90,4.55,1.01,5.74,-2.38,2.61,9.97,2.4,-6.8,-2.7
